alpha,beta,seed,variant,C,P,generalization_score,sample_recall_score
1.0,1.9197882413864136,0,B,4,32,0.62890625,0.84375
1.0,1.930529236793518,1,B,4,32,0.71484375,0.859375
1.0,1.881880760192871,2,B,4,32,0.7421875,0.8203125
1.0,1.920830488204956,3,B,4,32,0.6015625,0.81640625
1.0,1.947300672531128,4,B,4,32,0.6953125,0.83984375
5.0,1.8549797534942627,0,B,4,160,0.75,0.67578125
5.0,1.8503700494766235,1,B,4,160,0.79296875,0.69921875
5.0,1.86539888381958,2,B,4,160,0.72265625,0.67578125
5.0,1.813424825668335,3,B,4,160,0.796875,0.6796875
5.0,1.8513003587722778,4,B,4,160,0.82421875,0.73828125
10.0,1.8422821760177612,0,B,4,320,0.83984375,0.66015625
10.0,1.8247923851013184,1,B,4,320,0.78515625,0.62109375
10.0,1.8835735321044922,2,B,4,320,0.77734375,0.609375
10.0,1.8561125993728638,3,B,4,320,0.79296875,0.640625
10.0,1.8573626279830933,4,B,4,320,0.828125,0.61328125
20.0,1.8210804462432861,0,B,4,640,0.83203125,0.68359375
20.0,1.880900263786316,1,B,4,640,0.8046875,0.640625
20.0,1.8545169830322266,2,B,4,640,0.8203125,0.68359375
20.0,1.8315120935440063,3,B,4,640,0.8046875,0.6328125
20.0,1.8656858205795288,4,B,4,640,0.88671875,0.58984375
50.0,1.8515230417251587,0,B,4,1600,0.79296875,0.62890625
50.0,1.8879584074020386,1,B,4,1600,0.84375,0.63671875
50.0,1.8561292886734009,2,B,4,1600,0.84765625,0.6171875
50.0,1.856610894203186,3,B,4,1600,0.7734375,0.5703125
50.0,1.8502579927444458,4,B,4,1600,0.7734375,0.65234375
1.0,1.8353114128112793,0,B,8,32,0.50390625,0.76953125
1.0,1.8191804885864258,1,B,8,32,0.68359375,0.7734375
1.0,1.8290386199951172,2,B,8,32,0.6484375,0.78125
1.0,1.8497101068496704,3,B,8,32,0.5546875,0.875
1.0,1.8655266761779785,4,B,8,32,0.6328125,0.78515625
5.0,1.782800555229187,0,B,8,160,0.75390625,0.671875
5.0,1.7335102558135986,1,B,8,160,0.7265625,0.6328125
5.0,1.773836374282837,2,B,8,160,0.734375,0.67578125
5.0,1.7681033611297607,3,B,8,160,0.65625,0.6640625
5.0,1.7373014688491821,4,B,8,160,0.73828125,0.671875
10.0,1.745672345161438,0,B,8,320,0.68359375,0.62109375
10.0,1.6836856603622437,1,B,8,320,0.7109375,0.61328125
10.0,1.746342420578003,2,B,8,320,0.74609375,0.62890625
10.0,1.7522121667861938,3,B,8,320,0.71875,0.60546875
10.0,1.7758994102478027,4,B,8,320,0.71875,0.6328125
20.0,1.705057144165039,0,B,8,640,0.7265625,0.625
20.0,1.7096275091171265,1,B,8,640,0.69140625,0.62890625
20.0,1.742757797241211,2,B,8,640,0.82421875,0.6328125
20.0,1.7414624691009521,3,B,8,640,0.79296875,0.6015625
20.0,1.698131799697876,4,B,8,640,0.73046875,0.65234375
50.0,1.7423202991485596,0,B,8,1600,0.7734375,0.61328125
50.0,1.7571384906768799,1,B,8,1600,0.78125,0.6171875
50.0,1.7814195156097412,2,B,8,1600,0.83984375,0.59765625
50.0,1.723326563835144,3,B,8,1600,0.76953125,0.62109375
50.0,1.749798059463501,4,B,8,1600,0.8203125,0.58203125
1.0,1.7713555097579956,0,B,16,32,0.51953125,0.82421875
1.0,1.7179542779922485,1,B,16,32,0.39453125,0.8046875
1.0,1.795811653137207,2,B,16,32,0.33984375,0.89453125
1.0,1.7721723318099976,3,B,16,32,0.48828125,0.8203125
1.0,1.7928810119628906,4,B,16,32,0.41015625,0.80859375
5.0,1.6299854516983032,0,B,16,160,0.49609375,0.68359375
5.0,1.6862890720367432,1,B,16,160,0.51953125,0.61328125
5.0,1.6610221862792969,2,B,16,160,0.6484375,0.63671875
5.0,1.6487176418304443,3,B,16,160,0.55078125,0.62109375
5.0,1.6450704336166382,4,B,16,160,0.5546875,0.6171875
10.0,1.630426049232483,0,B,16,320,0.56640625,0.5859375
10.0,1.6493388414382935,1,B,16,320,0.5703125,0.54296875
10.0,1.6381330490112305,2,B,16,320,0.48046875,0.56640625
10.0,1.6278306245803833,3,B,16,320,0.484375,0.62109375
10.0,1.6253265142440796,4,B,16,320,0.48046875,0.578125
20.0,1.6762958765029907,0,B,16,640,0.578125,0.53515625
20.0,1.6629366874694824,1,B,16,640,0.57421875,0.609375
20.0,1.6456161737442017,2,B,16,640,0.67578125,0.71484375
20.0,1.6289489269256592,3,B,16,640,0.54296875,0.56640625
20.0,1.6360169649124146,4,B,16,640,0.58984375,0.53125
50.0,1.6567870378494263,0,B,16,1600,0.5859375,0.6328125
50.0,1.6122158765792847,1,B,16,1600,0.51953125,0.53515625
50.0,1.6168198585510254,2,B,16,1600,0.53125,0.69921875
50.0,1.6882047653198242,3,B,16,1600,0.5703125,0.5390625
50.0,1.6744029521942139,4,B,16,1600,0.66796875,0.57421875
1.0,1.9197882413864136,0,B,4,32,0.62890625,0.84375
1.0,1.9197882413864136,0,B,4,32,0.62890625,0.84375
1.0,1.930529236793518,1,B,4,32,0.71484375,0.859375
1.0,1.881880760192871,2,B,4,32,0.7421875,0.8203125
1.0,1.920830488204956,3,B,4,32,0.6015625,0.81640625
1.0,1.947300672531128,4,B,4,32,0.6953125,0.83984375
5.0,1.8549797534942627,0,B,4,160,0.75,0.67578125
5.0,1.8503700494766235,1,B,4,160,0.79296875,0.69921875
5.0,1.86539888381958,2,B,4,160,0.72265625,0.67578125
5.0,1.813424825668335,3,B,4,160,0.796875,0.6796875
5.0,1.8513003587722778,4,B,4,160,0.82421875,0.73828125
10.0,1.8422821760177612,0,B,4,320,0.83984375,0.66015625
10.0,1.8247923851013184,1,B,4,320,0.78515625,0.62109375
10.0,1.8835735321044922,2,B,4,320,0.77734375,0.609375
10.0,1.8561125993728638,3,B,4,320,0.79296875,0.640625
10.0,1.8573626279830933,4,B,4,320,0.828125,0.61328125
20.0,1.8210804462432861,0,B,4,640,0.83203125,0.68359375
20.0,1.880900263786316,1,B,4,640,0.8046875,0.640625
20.0,1.8545169830322266,2,B,4,640,0.8203125,0.68359375
20.0,1.8315120935440063,3,B,4,640,0.8046875,0.6328125
20.0,1.8656858205795288,4,B,4,640,0.88671875,0.58984375
50.0,1.8515230417251587,0,B,4,1600,0.79296875,0.62890625
50.0,1.8879584074020386,1,B,4,1600,0.84375,0.63671875
50.0,1.8561292886734009,2,B,4,1600,0.84765625,0.6171875
50.0,1.856610894203186,3,B,4,1600,0.7734375,0.5703125
50.0,1.8502579927444458,4,B,4,1600,0.7734375,0.65234375
1.0,1.8353114128112793,0,B,8,32,0.50390625,0.76953125
1.0,1.8191804885864258,1,B,8,32,0.68359375,0.7734375
1.0,1.8290386199951172,2,B,8,32,0.6484375,0.78125
1.0,1.8497101068496704,3,B,8,32,0.5546875,0.875
1.0,1.8655266761779785,4,B,8,32,0.6328125,0.78515625
5.0,1.782800555229187,0,B,8,160,0.75390625,0.671875
5.0,1.7335102558135986,1,B,8,160,0.7265625,0.6328125
5.0,1.773836374282837,2,B,8,160,0.734375,0.67578125
5.0,1.7681033611297607,3,B,8,160,0.65625,0.6640625
5.0,1.7373014688491821,4,B,8,160,0.73828125,0.671875
10.0,1.745672345161438,0,B,8,320,0.68359375,0.62109375
10.0,1.6836856603622437,1,B,8,320,0.7109375,0.61328125
10.0,1.746342420578003,2,B,8,320,0.74609375,0.62890625
10.0,1.7522121667861938,3,B,8,320,0.71875,0.60546875
10.0,1.7758994102478027,4,B,8,320,0.71875,0.6328125
20.0,1.705057144165039,0,B,8,640,0.7265625,0.625
20.0,1.7096275091171265,1,B,8,640,0.69140625,0.62890625
20.0,1.742757797241211,2,B,8,640,0.82421875,0.6328125
20.0,1.7414624691009521,3,B,8,640,0.79296875,0.6015625
20.0,1.698131799697876,4,B,8,640,0.73046875,0.65234375
50.0,1.7423202991485596,0,B,8,1600,0.7734375,0.61328125
50.0,1.7571384906768799,1,B,8,1600,0.78125,0.6171875
50.0,1.7814195156097412,2,B,8,1600,0.83984375,0.59765625
50.0,1.723326563835144,3,B,8,1600,0.76953125,0.62109375
50.0,1.749798059463501,4,B,8,1600,0.8203125,0.58203125
1.0,1.7713555097579956,0,B,16,32,0.51953125,0.82421875
1.0,1.7179542779922485,1,B,16,32,0.39453125,0.8046875
1.0,1.795811653137207,2,B,16,32,0.33984375,0.89453125
1.0,1.7721723318099976,3,B,16,32,0.48828125,0.8203125
1.0,1.7928810119628906,4,B,16,32,0.41015625,0.80859375
5.0,1.6299854516983032,0,B,16,160,0.49609375,0.68359375
5.0,1.6862890720367432,1,B,16,160,0.51953125,0.61328125
5.0,1.6610221862792969,2,B,16,160,0.6484375,0.63671875
5.0,1.6487176418304443,3,B,16,160,0.55078125,0.62109375
5.0,1.6450704336166382,4,B,16,160,0.5546875,0.6171875
10.0,1.630426049232483,0,B,16,320,0.56640625,0.5859375
10.0,1.6493388414382935,1,B,16,320,0.5703125,0.54296875
10.0,1.6381330490112305,2,B,16,320,0.48046875,0.56640625
10.0,1.6278306245803833,3,B,16,320,0.484375,0.62109375
10.0,1.6253265142440796,4,B,16,320,0.48046875,0.578125
20.0,1.6762958765029907,0,B,16,640,0.578125,0.53515625
20.0,1.6629366874694824,1,B,16,640,0.57421875,0.609375
20.0,1.6456161737442017,2,B,16,640,0.67578125,0.71484375
20.0,1.6289489269256592,3,B,16,640,0.54296875,0.56640625
20.0,1.6360169649124146,4,B,16,640,0.58984375,0.53125
50.0,1.6567870378494263,0,B,16,1600,0.5859375,0.6328125
50.0,1.6122158765792847,1,B,16,1600,0.51953125,0.53515625
50.0,1.6168198585510254,2,B,16,1600,0.53125,0.69921875
50.0,1.6882047653198242,3,B,16,1600,0.5703125,0.5390625
50.0,1.6744029521942139,4,B,16,1600,0.66796875,0.57421875
1.0,0.1,0,A,4,32,0.65625,0.74609375
1.0,0.3,0,A,4,32,0.69140625,1.0
1.0,0.5,0,A,4,32,0.66796875,1.0
1.0,1.9197882413864136,0,B,4,32,0.62890625,0.84375
1.0,0.1,1,A,4,32,0.6640625,0.8359375
1.0,0.3,1,A,4,32,0.7265625,0.98828125
1.0,0.5,1,A,4,32,0.68359375,1.0
1.0,1.930529236793518,1,B,4,32,0.71484375,0.859375
1.0,0.1,2,A,4,32,0.6484375,0.828125
1.0,0.3,2,A,4,32,0.57421875,1.0
1.0,0.5,2,A,4,32,0.54296875,1.0
1.0,1.881880760192871,2,B,4,32,0.7421875,0.8203125
1.0,0.1,3,A,4,32,0.7421875,0.84765625
1.0,0.3,3,A,4,32,0.7734375,1.0
1.0,0.5,3,A,4,32,0.6953125,1.0
1.0,1.920830488204956,3,B,4,32,0.6015625,0.81640625
1.0,0.1,4,A,4,32,0.82421875,0.80078125
1.0,0.3,4,A,4,32,0.86328125,1.0
1.0,0.5,4,A,4,32,0.8046875,1.0
1.0,1.947300672531128,4,B,4,32,0.6953125,0.83984375
5.0,0.1,0,A,4,160,0.765625,0.55859375
5.0,0.3,0,A,4,160,0.796875,0.96875
5.0,0.5,0,A,4,160,0.70703125,0.9921875
5.0,1.8549797534942627,0,B,4,160,0.75,0.67578125
5.0,0.1,1,A,4,160,0.7890625,0.6640625
5.0,0.3,1,A,4,160,0.8671875,0.94921875
5.0,0.5,1,A,4,160,0.765625,0.97265625
5.0,1.8503700494766235,1,B,4,160,0.79296875,0.69921875
5.0,0.1,2,A,4,160,0.734375,0.546875
5.0,0.3,2,A,4,160,0.80078125,0.94921875
5.0,0.5,2,A,4,160,0.703125,0.96484375
5.0,1.86539888381958,2,B,4,160,0.72265625,0.67578125
5.0,0.1,3,A,4,160,0.7734375,0.62109375
5.0,0.3,3,A,4,160,0.859375,0.953125
5.0,0.5,3,A,4,160,0.78515625,0.98828125
5.0,1.813424825668335,3,B,4,160,0.796875,0.6796875
5.0,0.1,4,A,4,160,0.79296875,0.67578125
5.0,0.3,4,A,4,160,0.80859375,0.953125
5.0,0.5,4,A,4,160,0.71875,0.984375
5.0,1.8513003587722778,4,B,4,160,0.82421875,0.73828125
10.0,0.1,0,A,4,320,0.74609375,0.5390625
10.0,0.3,0,A,4,320,0.8046875,0.8984375
10.0,0.5,0,A,4,320,0.73046875,0.97265625
10.0,1.8422821760177612,0,B,4,320,0.83984375,0.66015625
10.0,0.1,1,A,4,320,0.70703125,0.62890625
10.0,0.3,1,A,4,320,0.78515625,0.92578125
10.0,0.5,1,A,4,320,0.7421875,0.953125
10.0,1.8247923851013184,1,B,4,320,0.78515625,0.62109375
10.0,0.1,2,A,4,320,0.77734375,0.53515625
10.0,0.3,2,A,4,320,0.82421875,0.890625
10.0,0.5,2,A,4,320,0.703125,0.953125
10.0,1.8835735321044922,2,B,4,320,0.77734375,0.609375
10.0,0.1,3,A,4,320,0.76953125,0.58203125
10.0,0.3,3,A,4,320,0.82421875,0.921875
10.0,0.5,3,A,4,320,0.7578125,1.0
10.0,1.8561125993728638,3,B,4,320,0.79296875,0.640625
10.0,0.1,4,A,4,320,0.65625,0.59375
10.0,0.3,4,A,4,320,0.7578125,0.85546875
10.0,0.5,4,A,4,320,0.6796875,0.94140625
10.0,1.8573626279830933,4,B,4,320,0.828125,0.61328125
20.0,0.1,0,A,4,640,0.7890625,0.6015625
20.0,0.3,0,A,4,640,0.88671875,0.8203125
20.0,0.5,0,A,4,640,0.78125,0.9375
20.0,1.8210804462432861,0,B,4,640,0.83203125,0.68359375
20.0,0.1,1,A,4,640,0.86328125,0.59375
20.0,0.3,1,A,4,640,0.9296875,0.8515625
20.0,0.5,1,A,4,640,0.86328125,0.96484375
20.0,1.880900263786316,1,B,4,640,0.8046875,0.640625
20.0,0.1,2,A,4,640,0.7890625,0.515625
20.0,0.3,2,A,4,640,0.9140625,0.8125
20.0,0.5,2,A,4,640,0.80859375,0.98046875
20.0,1.8545169830322266,2,B,4,640,0.8203125,0.68359375
20.0,0.1,3,A,4,640,0.84765625,0.7109375
20.0,0.3,3,A,4,640,0.93359375,0.87109375
20.0,0.5,3,A,4,640,0.8671875,0.9609375
20.0,1.8315120935440063,3,B,4,640,0.8046875,0.6328125
20.0,0.1,4,A,4,640,0.796875,0.6328125
20.0,0.3,4,A,4,640,0.85546875,0.83203125
20.0,0.5,4,A,4,640,0.7734375,0.8828125
20.0,1.8656858205795288,4,B,4,640,0.88671875,0.58984375
50.0,0.1,0,A,4,1600,0.80078125,0.48046875
50.0,0.3,0,A,4,1600,0.9140625,0.75390625
50.0,0.5,0,A,4,1600,0.83984375,0.91015625
50.0,1.8515230417251587,0,B,4,1600,0.79296875,0.62890625
50.0,0.1,1,A,4,1600,0.828125,0.578125
50.0,0.3,1,A,4,1600,0.90625,0.75
50.0,0.5,1,A,4,1600,0.8203125,0.8828125
50.0,1.8879584074020386,1,B,4,1600,0.84375,0.63671875
50.0,0.1,2,A,4,1600,0.765625,0.5546875
50.0,0.3,2,A,4,1600,0.88671875,0.73828125
50.0,0.5,2,A,4,1600,0.81640625,0.9453125
50.0,1.8561292886734009,2,B,4,1600,0.84765625,0.6171875
50.0,0.1,3,A,4,1600,0.8125,0.58203125
50.0,0.3,3,A,4,1600,0.91796875,0.77734375
50.0,0.5,3,A,4,1600,0.83203125,0.9453125
50.0,1.856610894203186,3,B,4,1600,0.7734375,0.5703125
50.0,0.1,4,A,4,1600,0.8203125,0.515625
50.0,0.3,4,A,4,1600,0.8828125,0.76171875
50.0,0.5,4,A,4,1600,0.76171875,0.953125
50.0,1.8502579927444458,4,B,4,1600,0.7734375,0.65234375
1.0,0.1,0,A,8,32,0.625,0.921875
1.0,0.3,0,A,8,32,0.6015625,1.0
1.0,0.5,0,A,8,32,0.5234375,1.0
1.0,1.8353114128112793,0,B,8,32,0.50390625,0.76953125
1.0,0.1,1,A,8,32,0.51171875,0.83984375
1.0,0.3,1,A,8,32,0.55859375,0.984375
1.0,0.5,1,A,8,32,0.49609375,0.984375
1.0,1.8191804885864258,1,B,8,32,0.68359375,0.7734375
1.0,0.1,2,A,8,32,0.546875,0.828125
1.0,0.3,2,A,8,32,0.60546875,1.0
1.0,0.5,2,A,8,32,0.5859375,1.0
1.0,1.8290386199951172,2,B,8,32,0.6484375,0.78125
1.0,0.1,3,A,8,32,0.50390625,0.90234375
1.0,0.3,3,A,8,32,0.61328125,1.0
1.0,0.5,3,A,8,32,0.59765625,1.0
1.0,1.8497101068496704,3,B,8,32,0.5546875,0.875
1.0,0.1,4,A,8,32,0.56640625,0.94140625
1.0,0.3,4,A,8,32,0.67578125,0.99609375
1.0,0.5,4,A,8,32,0.6171875,1.0
1.0,1.8655266761779785,4,B,8,32,0.6328125,0.78515625
5.0,0.1,0,A,8,160,0.65625,0.62109375
5.0,0.3,0,A,8,160,0.73828125,0.96484375
5.0,0.5,0,A,8,160,0.70703125,0.9921875
5.0,1.782800555229187,0,B,8,160,0.75390625,0.671875
5.0,0.1,1,A,8,160,0.66796875,0.62890625
5.0,0.3,1,A,8,160,0.79296875,0.99609375
5.0,0.5,1,A,8,160,0.70703125,1.0
5.0,1.7335102558135986,1,B,8,160,0.7265625,0.6328125
5.0,0.1,2,A,8,160,0.6015625,0.62890625
5.0,0.3,2,A,8,160,0.6796875,0.96484375
5.0,0.5,2,A,8,160,0.63671875,0.984375
5.0,1.773836374282837,2,B,8,160,0.734375,0.67578125
5.0,0.1,3,A,8,160,0.5703125,0.65625
5.0,0.3,3,A,8,160,0.67578125,0.9765625
5.0,0.5,3,A,8,160,0.609375,0.984375
5.0,1.7681033611297607,3,B,8,160,0.65625,0.6640625
5.0,0.1,4,A,8,160,0.609375,0.69140625
5.0,0.3,4,A,8,160,0.68359375,0.94921875
5.0,0.5,4,A,8,160,0.62109375,0.9765625
5.0,1.7373014688491821,4,B,8,160,0.73828125,0.671875
10.0,0.1,0,A,8,320,0.6484375,0.640625
10.0,0.3,0,A,8,320,0.80078125,0.8984375
10.0,0.5,0,A,8,320,0.73046875,0.92578125
10.0,1.745672345161438,0,B,8,320,0.68359375,0.62109375
10.0,0.1,1,A,8,320,0.6015625,0.59765625
10.0,0.3,1,A,8,320,0.67578125,0.9296875
10.0,0.5,1,A,8,320,0.6484375,0.96875
10.0,1.6836856603622437,1,B,8,320,0.7109375,0.61328125
10.0,0.1,2,A,8,320,0.640625,0.546875
10.0,0.3,2,A,8,320,0.7421875,0.94921875
10.0,0.5,2,A,8,320,0.67578125,0.98828125
10.0,1.746342420578003,2,B,8,320,0.74609375,0.62890625
10.0,0.1,3,A,8,320,0.66796875,0.609375
10.0,0.3,3,A,8,320,0.8046875,0.9375
10.0,0.5,3,A,8,320,0.76953125,1.0
10.0,1.7522121667861938,3,B,8,320,0.71875,0.60546875
10.0,0.1,4,A,8,320,0.578125,0.5859375
10.0,0.3,4,A,8,320,0.67578125,0.94140625
10.0,0.5,4,A,8,320,0.61328125,0.984375
10.0,1.7758994102478027,4,B,8,320,0.71875,0.6328125
20.0,0.1,0,A,8,640,0.5859375,0.58203125
20.0,0.3,0,A,8,640,0.671875,0.921875
20.0,0.5,0,A,8,640,0.57421875,0.984375
20.0,1.705057144165039,0,B,8,640,0.7265625,0.625
20.0,0.1,1,A,8,640,0.63671875,0.54296875
20.0,0.3,1,A,8,640,0.796875,0.91796875
20.0,0.5,1,A,8,640,0.75,0.98828125
20.0,1.7096275091171265,1,B,8,640,0.69140625,0.62890625
20.0,0.1,2,A,8,640,0.7421875,0.55078125
20.0,0.3,2,A,8,640,0.80859375,0.85546875
20.0,0.5,2,A,8,640,0.7421875,0.9609375
20.0,1.742757797241211,2,B,8,640,0.82421875,0.6328125
20.0,0.1,3,A,8,640,0.69921875,0.63671875
20.0,0.3,3,A,8,640,0.7890625,0.921875
20.0,0.5,3,A,8,640,0.74609375,0.94140625
20.0,1.7414624691009521,3,B,8,640,0.79296875,0.6015625
20.0,0.1,4,A,8,640,0.6875,0.56640625
20.0,0.3,4,A,8,640,0.765625,0.890625
20.0,0.5,4,A,8,640,0.71875,0.94921875
20.0,1.698131799697876,4,B,8,640,0.73046875,0.65234375
50.0,0.1,0,A,8,1600,0.6328125,0.60546875
50.0,0.3,0,A,8,1600,0.83203125,0.8203125
50.0,0.5,0,A,8,1600,0.765625,0.96875
50.0,1.7423202991485596,0,B,8,1600,0.7734375,0.61328125
50.0,0.1,1,A,8,1600,0.6875,0.55859375
50.0,0.3,1,A,8,1600,0.79296875,0.78125
50.0,0.5,1,A,8,1600,0.7265625,0.91796875
50.0,1.7571384906768799,1,B,8,1600,0.78125,0.6171875
50.0,0.1,2,A,8,1600,0.6796875,0.58203125
50.0,0.3,2,A,8,1600,0.78125,0.8046875
50.0,0.5,2,A,8,1600,0.6953125,0.9296875
50.0,1.7814195156097412,2,B,8,1600,0.83984375,0.59765625
50.0,0.1,3,A,8,1600,0.703125,0.625
50.0,0.3,3,A,8,1600,0.83203125,0.8828125
50.0,0.5,3,A,8,1600,0.73828125,0.98046875
50.0,1.723326563835144,3,B,8,1600,0.76953125,0.62109375
50.0,0.1,4,A,8,1600,0.625,0.56640625
50.0,0.3,4,A,8,1600,0.7734375,0.765625
50.0,0.5,4,A,8,1600,0.71875,0.890625
50.0,1.749798059463501,4,B,8,1600,0.8203125,0.58203125
1.0,0.1,0,A,16,32,0.4375,0.9375
1.0,0.3,0,A,16,32,0.4921875,1.0
1.0,0.5,0,A,16,32,0.42578125,1.0
1.0,1.7713555097579956,0,B,16,32,0.51953125,0.82421875
1.0,0.1,1,A,16,32,0.43359375,0.86328125
1.0,0.3,1,A,16,32,0.48046875,1.0
1.0,0.5,1,A,16,32,0.4375,1.0
1.0,1.7179542779922485,1,B,16,32,0.39453125,0.8046875
1.0,0.1,2,A,16,32,0.47265625,0.87109375
1.0,0.3,2,A,16,32,0.46875,1.0
1.0,0.5,2,A,16,32,0.47265625,1.0
1.0,1.795811653137207,2,B,16,32,0.33984375,0.89453125
1.0,0.1,3,A,16,32,0.421875,0.953125
1.0,0.3,3,A,16,32,0.4921875,1.0
1.0,0.5,3,A,16,32,0.5,1.0
1.0,1.7721723318099976,3,B,16,32,0.48828125,0.8203125
1.0,0.1,4,A,16,32,0.40234375,0.9453125
1.0,0.3,4,A,16,32,0.49609375,1.0
1.0,0.5,4,A,16,32,0.46875,1.0
1.0,1.7928810119628906,4,B,16,32,0.41015625,0.80859375
5.0,0.1,0,A,16,160,0.44140625,0.6328125
5.0,0.3,0,A,16,160,0.58203125,0.97265625
5.0,0.5,0,A,16,160,0.56640625,0.96875
5.0,1.6299854516983032,0,B,16,160,0.49609375,0.68359375
5.0,0.1,1,A,16,160,0.5390625,0.71875
5.0,0.3,1,A,16,160,0.62890625,0.9921875
5.0,0.5,1,A,16,160,0.59765625,1.0
5.0,1.6862890720367432,1,B,16,160,0.51953125,0.61328125
5.0,0.1,2,A,16,160,0.546875,0.58203125
5.0,0.3,2,A,16,160,0.5625,0.94921875
5.0,0.5,2,A,16,160,0.51171875,1.0
5.0,1.6610221862792969,2,B,16,160,0.6484375,0.63671875
5.0,0.1,3,A,16,160,0.4921875,0.70703125
5.0,0.3,3,A,16,160,0.53515625,0.99609375
5.0,0.5,3,A,16,160,0.484375,1.0
5.0,1.6487176418304443,3,B,16,160,0.55078125,0.62109375
5.0,0.1,4,A,16,160,0.53125,0.71875
5.0,0.3,4,A,16,160,0.5859375,0.9765625
5.0,0.5,4,A,16,160,0.54296875,0.9921875
5.0,1.6450704336166382,4,B,16,160,0.5546875,0.6171875
10.0,0.1,0,A,16,320,0.546875,0.6953125
10.0,0.3,0,A,16,320,0.6796875,0.953125
10.0,0.5,0,A,16,320,0.6640625,0.98046875
10.0,1.630426049232483,0,B,16,320,0.56640625,0.5859375
10.0,0.1,1,A,16,320,0.55078125,0.671875
10.0,0.3,1,A,16,320,0.640625,0.94921875
10.0,0.5,1,A,16,320,0.58984375,1.0
10.0,1.6493388414382935,1,B,16,320,0.5703125,0.54296875
10.0,0.1,2,A,16,320,0.49609375,0.5625
10.0,0.3,2,A,16,320,0.6015625,0.96484375
10.0,0.5,2,A,16,320,0.53125,1.0
10.0,1.6381330490112305,2,B,16,320,0.48046875,0.56640625
10.0,0.1,3,A,16,320,0.46484375,0.546875
10.0,0.3,3,A,16,320,0.6484375,0.953125
10.0,0.5,3,A,16,320,0.64453125,0.99609375
10.0,1.6278306245803833,3,B,16,320,0.484375,0.62109375
10.0,0.1,4,A,16,320,0.4609375,0.65234375
10.0,0.3,4,A,16,320,0.56640625,0.9609375
10.0,0.5,4,A,16,320,0.5546875,1.0
10.0,1.6253265142440796,4,B,16,320,0.48046875,0.578125
20.0,0.1,0,A,16,640,0.5234375,0.62109375
20.0,0.3,0,A,16,640,0.65625,0.94921875
20.0,0.5,0,A,16,640,0.609375,0.984375
20.0,1.6762958765029907,0,B,16,640,0.578125,0.53515625
20.0,0.1,1,A,16,640,0.6171875,0.66796875
20.0,0.3,1,A,16,640,0.7421875,0.91015625
20.0,0.5,1,A,16,640,0.76171875,0.9453125
20.0,1.6629366874694824,1,B,16,640,0.57421875,0.609375
20.0,0.1,2,A,16,640,0.59375,0.6484375
20.0,0.3,2,A,16,640,0.71484375,0.93359375
20.0,0.5,2,A,16,640,0.69921875,0.96484375
20.0,1.6456161737442017,2,B,16,640,0.67578125,0.71484375
20.0,0.1,3,A,16,640,0.6328125,0.64453125
20.0,0.3,3,A,16,640,0.74609375,0.96484375
20.0,0.5,3,A,16,640,0.66796875,1.0
20.0,1.6289489269256592,3,B,16,640,0.54296875,0.56640625
20.0,0.1,4,A,16,640,0.50390625,0.61328125
20.0,0.3,4,A,16,640,0.640625,0.90625
20.0,0.5,4,A,16,640,0.5625,0.9375
20.0,1.6360169649124146,4,B,16,640,0.58984375,0.53125
50.0,0.1,0,A,16,1600,0.49609375,0.5234375
50.0,0.3,0,A,16,1600,0.6640625,0.890625
50.0,0.5,0,A,16,1600,0.63671875,0.98046875
50.0,1.6567870378494263,0,B,16,1600,0.5859375,0.6328125
50.0,0.1,1,A,16,1600,0.625,0.64453125
50.0,0.3,1,A,16,1600,0.7578125,0.87109375
50.0,0.5,1,A,16,1600,0.69140625,0.9296875
50.0,1.6122158765792847,1,B,16,1600,0.51953125,0.53515625
50.0,0.1,2,A,16,1600,0.546875,0.609375
50.0,0.3,2,A,16,1600,0.62890625,0.86328125
50.0,0.5,2,A,16,1600,0.59765625,0.97265625
50.0,1.6168198585510254,2,B,16,1600,0.53125,0.69921875
50.0,0.1,3,A,16,1600,0.47265625,0.51953125
50.0,0.3,3,A,16,1600,0.62890625,0.90234375
50.0,0.5,3,A,16,1600,0.59375,0.96875
50.0,1.6882047653198242,3,B,16,1600,0.5703125,0.5390625
50.0,0.1,4,A,16,1600,0.49609375,0.60546875
50.0,0.3,4,A,16,1600,0.64453125,0.84765625
50.0,0.5,4,A,16,1600,0.6328125,0.90234375
50.0,1.6744029521942139,4,B,16,1600,0.66796875,0.57421875
